Study,Plot,TRT,GT,Wh,Pop,Rep,RXA,SXA,CXA,CSR,CF,CCS,Num,Dens,Perim,Pmdiff,AA,AAP,MXN,MXA,MXP,MXM,MXL,MXW,Lwmax,Lwrat,ECC,JSM,J_max,J_med,CDM,CD24med,AvgCDiam,MaxCD,HYP,OUT,CD35avg,INN
PA16,214,HN,8,5,Hybrid,F2,9.800097959,4.096297959,5.7038,1.392428006,19,2247.163078,NA,NA,9.3638135,9.586283558,0,0,35,0.310008887,7.568025811,9703.025685,108.3321088,106.2619048,170.3670748,1.102766015,0.421538126,1.26E-07,9.52E-09,3.85E-09,42.31408163,17.14238095,72.66183673,88.44340136,19.18251701,12.77346939,20.51891156,36.57748299
PA16,215,HN,12,5,Hybrid,F2,7.775455782,2.823587755,4.951868027,1.753750355,20.5,2080.846088,NA,NA,8.3476591,5.501534192,0.165679592,3.345799826,37,0.330802423,11.71567708,9893.9157,125.170068,102.1365986,153.2530612,1.232286649,0.584353113,1.37E-07,9.04E-09,3.89E-09,40.27863946,21.41333333,87.51258503,63.80217687,26.47068027,18.76217687,23.20408163,43.9477551
PA16,216,HN,43,5,Hybrid,F2,9.141801802,3.597891892,5.54390991,1.540877291,19.5,2132.19665,NA,NA,9.9611373,16.20770455,0.004693694,0.08466396,32,0.242081597,6.728428875,7867.933382,103.6769144,99.20146396,138.2707207,1.074263069,0.365335185,8.34E-08,4.99E-09,2.55E-09,35.02083333,15.74448198,58.86188063,61.56171171,23.21171171,13.84448198,15.25884009,36.6393018
PA16,227,HN,6,5,Hybrid,F2,11.69063063,4.894513514,6.796117117,1.388517388,20.5,2608.987894,NA,NA,11.2391596,17.77544707,0,0,49,0.297641357,6.081122377,7212.490417,102.0993243,95.03597973,140.4726351,1.065851714,0.345955159,1.03E-07,7.62E-09,2.15E-09,39.5588964,17.75095721,79.21497748,71.83412162,16.04380631,17.75095721,20.60266517,43.84009009
PA16,228,HN,17,5,Hybrid,F2,13.9255619,6.088021769,7.837540136,1.287370583,21,1825.321973,NA,NA,11.1889313,11.30355495,0.123831293,1.579976502,48,0.414504458,6.808524564,10253.64365,127.5634014,104.2027211,182.4956463,1.211364607,0.564102891,1.97E-07,1.59E-08,4.05E-09,37.18503401,20.40816327,86.42265306,68.5152381,28.18129252,17.11938776,23.3192517,50.12741497
PA16,234,HN,1,5,Hybrid,F2,5.095702703,1.588190878,3.507511824,2.208495132,16,1808.980856,NA,NA,7.3992549,10.27437026,0.081005068,2.309473827,19,0.20600782,12.97122546,10883.16251,125.2381757,118.9436937,151.9727477,1.084099101,0.38617653,1.01E-07,1.11E-08,4.91E-09,35.08400901,21.97820946,91.51064189,60.73198198,30.36058559,17.26858108,25.16873123,31.65793919
PA16,236,HN,36,5,Hybrid,F2,8.275918367,3.188210204,5.087708163,1.595788181,17.5,2095.578231,NA,NA,8.7087658,8.185892608,0,0,34,0.258214537,8.099043692,8029.665216,105.1829252,100.4635374,123.915102,1.12598166,0.45962174,8.57E-08,5.04E-09,2.53E-09,37.16054422,20.2629932,81.6155102,81.00666667,21.88129252,16.06013605,22.3584127,41.50047619
PA16,240,HN,22,5,Hybrid,F2,10.46730631,4.036945946,6.43036036,1.592877499,20,2062.887106,NA,NA,10.6600216,15.6734169,0,0,37,0.342840479,8.492570451,9530.641054,117.3118243,105.3033784,152.2563063,1.108108108,0.430817603,1.47E-07,8.86E-09,3.61E-09,37.89228604,16.02359234,79.55275901,63.10326577,19.65810811,12.61362613,22.75572447,37.8830518
PA16,302,LN,21,5,Hybrid,F1,5.94581982,2.046792793,3.899027027,1.904944673,20.5,1552.21647,NA,NA,7.9252371,11.6776144,0.247936937,6.358943788,32,0.250214282,12.22470019,8300.268446,113.0845721,96.21790541,135.5100225,1.142022122,0.482537562,9.22E-08,6.61E-09,2.78E-09,33.57466216,17.24504505,76.91903153,57.4704955,25.59577703,16.09510135,20.34266141,34.74864865
PA16,303,LN,19,5,Hybrid,F1,4.54796748,1.587291057,2.960676423,1.865238521,18.5,1211.018689,NA,NA,8.1983456,25.59978636,0.001463415,0.049428388,27,0.125573797,7.911201665,4596.459106,86.85121951,68.98601626,107.6614634,1.173991379,0.523875232,2.65E-08,2.28E-09,8.61E-10,26.06699187,13.96650407,65.47804878,41.49528455,16.02296748,13.77581301,17.4451084,24.72670732
PA16,310,LN,26,5,Hybrid,F1,5.952531532,2.041013514,3.911518018,1.916458657,18.5,1552.642441,NA,NA,7.8911789,11.15444386,0.051739865,1.322756654,23,0.191139563,9.364933735,8399.440982,109.042455,100.6481982,149.5502252,1.063916561,0.341385599,7.17E-08,8.38E-09,2.89E-09,33.975,27.23648649,98.97376126,54.38671171,29.59797297,17.74572072,27.29410661,32.18907658
PA16,323,LN,41,5,Hybrid,F1,6.718725203,2.044871545,4.673853659,2.285646583,18.5,2092.096362,NA,NA,10.0241921,23.54725091,0,0,27,0.204851223,10.01780397,7797.562111,107.0827642,92.39723577,123.5879675,1.099760738,0.416165928,6.78E-08,5.43E-09,2.48E-09,36.03414634,15.64544715,75.75353659,57.45252033,30.24589431,14.83878049,20.35620596,38.05914634
PA16,333,LN,44,5,Hybrid,F1,3.723479675,1.382127391,2.341352283,1.694020608,16,1092.310589,NA,NA,7.4416263,27.10957934,0,0,29,0.153242433,11.08743185,5707.720439,96.86577236,76.13585366,109.1035772,1.288109682,0.630324955,3.41E-08,2.08E-09,1.27E-09,24.99113821,18.80012195,82.55634146,33.01455285,21.86678862,18.7104878,21.35886179,25.81934959
PA16,335,LN,14,5,Hybrid,F1,6.465860163,1.862295935,4.603564228,2.47198318,19,1985.137195,NA,NA,9.8235114,22.57427479,0.027395122,0.595085038,21,0.143368156,7.698462602,7270.195509,105.1392683,89.43089431,118.431626,1.164553767,0.512481932,4.11E-08,3.12E-09,2.14E-09,32.14166667,19.72479675,97.54239837,50.5897561,30.52621951,17.49353659,26.76700542,27.12280488
