"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","RH2M","T2M","PRECTOT","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","CLRSKY_SFC_SW_DWN","PS","WS2M","T2MDEW","Wpot","e_t","e_tmin","e_tmax","e_a","e_s","VPD","delta","gama","gd","GDD","ratio","Rns","Rnl","Rn","ET0","Kc","ET","local"
"15",-3.70343,40.47786,2015,5,29,149,"2015-05-29",39.95,21.92,0.89,30.8,12.74,20.77,-99,93.32,1.51,7.51,-124.698628038695,2.63106646876932,1.47248684720747,4.44169109904079,1.03748915355031,2.95708897312413,1.91959981957382,0.160459990194996,0.0620578,11.92,114.28,1,15.9929,2.85448510371969e-07,15.9928997145515,6.27394297778839,0.106867033637912,0.670477675249655,"Madrid, Spain"
"16",-3.70343,40.47786,2015,5,30,150,"2015-05-30",39.8,21.21,0,30.12,11.9,25.4,29.82,93.56,2.05,6.71,-124.908742630193,2.51926701095531,1.39334217786484,4.27235732445155,0.982082296666925,2.83284975115819,1.85076745449127,0.154486828841307,0.0622174,11.21,125.49,1,19.558,2.90280287439518e-07,19.5579997097197,7.51668251952613,0.109083341928441,0.819944849445004,"Madrid, Spain"
"17",-3.70343,40.47786,2015,5,31,151,"2015-05-31",34.18,22.03,0,30.38,11.97,27.47,-99,93.62,1.46,5.27,-145.952563877076,2.64876960904871,1.39979175226671,4.33642772892093,0.888888846170927,2.86810974059382,1.9792208944229,0.1614026343498,0.0622573,12.03,137.52,1,21.1519,3.00179619875112e-07,21.1518996998204,7.62753866803967,0.111938444718676,0.853814815531924,"Madrid, Spain"
"18",-3.70343,40.47786,2015,6,1,152,"2015-06-01",36.79,22.56,0,31.15,12.95,27.03,-99,93.63,1.87,6.85,-136.19217607062,2.73553281809307,1.49287919654947,4.53110006824307,0.991586037374185,3.01198963239627,2.02040359502208,0.166010292663455,0.06226395,12.56,150.08,1,20.8131,2.90337221280165e-07,20.8130997096628,7.93710903047716,0.115492080377656,0.916673234114089,"Madrid, Spain"
"19",-3.70343,40.47786,2015,6,2,153,"2015-06-02",33.89,24.52,0,32.46,15.37,26.17,-99,93.77,1.35,7.42,-148.351330490983,3.07832782265923,1.74639581331763,4.8797757150355,1.03112147178058,3.31308576417657,2.28196429239599,0.184026846730542,0.06235705,14.52,164.6,1,20.1509,2.88162938583856e-07,20.1508997118371,7.61472693132552,0.120391550068408,0.916748778609929,"Madrid, Spain"
"20",-3.70343,40.47786,2015,6,3,154,"2015-06-03",32.67,24.56,0.29,32.67,14.59,25.6,-99,94,2.16,6.96,-153.398471133455,3.08569688538669,1.66084932704722,4.93778329961849,0.999109998926508,3.29931631333286,2.30020631440635,0.184411028128927,0.06251,14.56,179.16,1,19.712,2.91122950842811e-07,19.7119997088771,8.27275635802687,0.126224768443372,1.04422675568038,"Madrid, Spain"
"21",-3.70343,40.47786,2015,6,4,155,"2015-06-04",26.8,23.88,0,31.86,15.52,29.29,29.84,93.99,2.45,3.54,-180.143716025156,2.96249276542012,1.76328272454362,4.71728814664061,0.787303345239782,3.24028543559211,2.45298209035233,0.177971072422074,0.06250335,13.88,193.04,1,22.5533,3.14055051680552e-07,22.5532996859449,9.4906314998134,0.132705576326054,1.25945972288094,"Madrid, Spain"
"22",-3.70343,40.47786,2015,6,5,156,"2015-06-05",26.93,23.08,0,31.56,13.16,28.94,-99,93.89,1.97,2.89,-178.99854255045,2.82306048838092,1.5135190494887,4.63782183200301,0.751870913954993,3.07567044074585,2.32379952679086,0.170638447986258,0.06243685,13.08,206.12,1,22.2838,3.16744793711376e-07,22.2837996832552,8.80424735825904,0.139684746539314,1.22981906070784,"Madrid, Spain"
"23",-3.70343,40.47786,2015,6,6,157,"2015-06-06",29.93,24.24,0,33.23,14.02,28.53,29.98,93.95,2.07,5.34,-165.231959919652,3.02717279891311,1.60068084102606,5.09540661858821,0.893231896879021,3.34804372980713,2.45481183292811,0.181356417250482,0.06247675,14.24,220.36,1,21.9681,3.02209625091781e-07,21.9680996977904,8.98790526912816,0.148295091371461,1.3328622331234,"Madrid, Spain"
"24",-3.70343,40.47786,2015,6,7,158,"2015-06-07",25.9,24.31,0,32.97,14.92,29.88,30.15,94,2.49,3.31,-185.084328644485,3.03989152525775,1.69658273242891,5.02168950124287,0.774600809385597,3.35913611683589,2.58453530745029,0.18202094261631,0.06251,14.31,234.67,1,23.0076,3.15790553548002e-07,23.0075996842094,9.83828352663993,0.158058897543616,1.55502824794223,"Madrid, Spain"
