"","stele","CT","nX","xylem","CF"
"1",145.143426511111,278.654980014444,9,50.6407728057734,7.48609920391917
"2",131.496687894618,260.137630502951,8,45.5671867051374,8.45696038713309
"3",129.566746232587,269.738412899254,8,46.8316294965752,9
"4",126.275493573673,244.436503948673,8,47.5205706413561,7.31393420474097
"5",141.757270802198,294.829105702198,8,49.1566801975487,9
"6",136.57373225,285.99373225,8,55.0157022972829,8
"7",137.700832721242,280.211525421242,8,50.4900906305933,8
"8",71.1174443468624,183.612692696862,3,34.552606601636,5
"9",69.6391101845861,180.311632384586,3,38.4055474771227,5.46987169961011
"10",70.9153284614126,187.808916211413,3,36.1631039159072,6
"11",63.3276572675945,171.561677467594,3,34.0602001301073,5
"12",61.1537361646152,170.012101989615,3,32.8175962200498,5
"13",64.7759174907843,173.514232490784,3,32.7437452275376,6
"14",63.9091503120691,156.300850912069,3,32.3071974845977,5
"15",81.3301777607826,180.310433160783,4,39.9544938664312,4
"16",68.6417752207763,145.514835820776,3.5,32.2522845093576,5
"17",67.1372184263291,172.663848726329,3,36.2517608892847,6
"18",62.5951647588511,149.327099258851,4,27.957932872839,6
"19",67.3892330537695,172.529487320436,3,34.7452663846622,5
"20",64.9794178083294,187.522518658329,4,33.9872410784928,6
"21",98.9592269816709,223.450435781671,5,43.8359479292492,6
"22",28.236277110818,76.417794610818,1,22.8427549551007,3
"23",30.5094450017915,68.9289366017915,1,26.5793867708007,2
"24",27.8553808359329,70.8158857359329,1,24.5652676888762,3
"25",27.2965048491784,70.4621363491784,1.5,16.0037275566924,3
"26",29.0186691490613,71.9799746990613,1.5,18.5338856323715,3
"27",31.8709165399431,80.7707431399431,1.5,17.7541423373665,3
"28",21.0303450023274,60.5420572023275,1,14.2751523053877,2
"29",62.3424953668458,153.196065866846,3,34.5063267671792,5
"30",67.9854445842042,181.459066684204,3,36.2354193674727,5.5
"31",67.3228377805391,158.985824630539,3,35.302573257197,5
"32",71.0761649908295,177.95475539083,3,37.6880392279445,5
"33",28.3028433630513,75.0699904630513,2,14.5645855019475,3
"34",27.3864930244186,74.4953131244186,2,14.9741463204818,3
"35",66.4097321775324,173.967690044199,4,32.2482146321271,5
"36",68.6385415167586,153.697964950092,4,34.8292093613127,5
"37",80.9932896317445,183.155723631744,4,42.0510773936794,5
"38",17.1651627143276,47.2876806143276,1,10.731985731368,2
"39",107.974963904969,218.070697971635,7,43.3100244547763,7
"40",117.976529399514,228.113296949514,7,46.9411068852501,7
"41",78.5820973597082,172.331766126375,6,29.3849668867873,5.63212530450301
"42",57.4991129796712,153.723052272482,2,37.4992244437515,5
"43",55.7243074085875,151.245719308587,2,36.6872591929452,5
"44",57.429299837377,150.305863437377,2,37.8999545835368,4.46430639415867
"45",53.1036908838016,136.462428150468,2,33.3885320372496,4
"46",51.294449816037,122.662435382704,2,33.1418193923366,6
"47",61.8815040541944,153.705055354194,2,39.4078619440554,5
"48",69.4881983537445,186.780860003745,3,36.0466689468497,5
"49",68.1838270223635,190.728809422363,3,36.442140454724,6
"50",73.8248141654212,193.705167665421,3,41.732490487002,6
"51",71.9734743271946,187.432090027195,3,42.6095785772518,6
"52",72.9284151350431,185.575329385043,3,41.2635808018659,5.46384092076977
"53",77.6567756537227,202.098885084174,3,43.7282400610025,7
"54",45.6194228241724,127.073564499172,2,25.8564728484452,4
"55",44.9788038724948,116.743720022495,2,25.4018357168663,3
"56",45.0323238831292,124.224803233129,2,24.316931719204,3.45388949665577
"57",46.9900082,124.0381731,2,28.6294945279036,3
"58",44.205617481036,113.690523932762,2,25.1148622244143,3
"59",41.5227010901139,128.362023890114,1,31.3624593258372,4
"60",43.839980753432,125.617384953432,1,31.9236239762946,4
"61",48.2295779880868,114.067994738087,1,30,3
"62",79.65244012906,188.42323992906,4,38.895923368835,5
"63",90.7075886237707,211.876032623771,4,42.4124385696635,5
"64",90.2688762546502,221.27716375465,4,44.2230597944605,7
"65",15.0420748490792,46.3521438490793,1,8.91582262283069,2
"66",19.0939664317539,51.8863502817539,1,11.6802236974192,2.48908628966228
"67",20.8932216712567,48.6427154712567,1,14.6200580534904,2
"68",21.8756233187953,61.0718720687953,1,13.7768972930329,2
"69",17.476637532599,47.347197732599,1,11.14260629201,2
"70",107.82060144178,215.47394714178,8,40.1537510948544,7
"71",108.339042918445,218.260903518445,9,40.1894336870419,7.48691528216764
"72",111.544686936964,227.571157736964,9,41.4476316515247,7
"73",112.681680152834,223.308076452834,9,37.5199998304847,7
"74",124.896389432519,259.123970232519,9,45.4992767384618,8
"75",104.824781614924,218.631820414924,9,36.6715434435325,7
"76",142.783772314601,265.471952614601,9,50.3429412633693,7.45527883005875
"77",155.69333917509,319.73339297509,9,48.0031218185592,12
"78",18.5514503503376,61.9081457503376,1,11.0687727341404,3
"79",13.7872194301193,NA,1,7.73436844652598,NA
"80",66.7462055829685,163.316149582968,4,31.5824330163392,6
"81",63.2332121012471,165.569702301247,4,27.3635603437492,6
"82",62.6729968616321,155.485611761632,4,27.5695062776434,5
"83",109.197320066667,235.846536866667,7,43.5735644153991,7
"84",27.32030455,77.96617875,1,21.6215189,2.75629350299817
"85",26.3083010271841,73.6003158605174,1,22.2727804800612,2.49403515210777
"86",28.9254469598356,70.649362958658,2,14.5145442717573,2.5
"87",25.1140842659356,64.2990187659356,1,20.1733273286777,3
"88",28.3426353808359,79.7483314808359,1,24.1553396992006,3
"89",34.471281086333,82.241013486333,3,13.9896660400429,3
"90",23.8622380307587,64.4004286307587,1,21.4806378382192,2
"91",23.1167848043829,54.0006519043829,1,18.3858597255265,2
"92",17.672722885541,51.1718592529349,1,12.277492840986,2
"93",26.6837229565783,79.1881623565783,1,22.4697454821746,3
"94",29.4599336158242,84.4592446643266,1,21.3454995143834,3
"95",30.7301358796791,90.6772603796791,1,22.280161195274,3
"96",27.6460746329253,84.8843971329253,1,24.4260872234987,3
"97",23.2395039196949,72.3309283196949,1,18.3034034688694,3
