 ******* Program HYDRUS
 ******* 
 Root water uptake in a soil profile                                     
 Date:   7.10.2021    Time:  16:18: 9
 Units: L = cm   , T = days , M = mmol 



                               Node(  1)                      Node(  9)

         time            h        theta    Flux           h        theta    Flux  
         23.3585   -10000.00  0.2782 -0.110E+00     -12456.44  0.2741  0.100E-02
         23.4227   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.905E-03
         23.4868   -10000.00  0.2782 -0.112E+00     -12490.24  0.2740  0.101E-02
         23.5510   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.874E-03
         23.6151   -10000.00  0.2782 -0.108E+00     -12403.47  0.2741  0.985E-03
         23.6793   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.894E-03
         23.7434   -10000.00  0.2782 -0.111E+00     -12458.29  0.2741  0.100E-02
         23.8076   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.866E-03
         23.8717   -10000.00  0.2782 -0.108E+00     -12381.26  0.2742  0.977E-03
         23.9359   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.888E-03
         24.0000   -10000.00  0.2782 -0.110E+00     -12441.28  0.2741  0.998E-03
         24.0647   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.868E-03
         24.1294   -10000.00  0.2782 -0.108E+00     -12405.05  0.2741  0.985E-03
         24.1941   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.899E-03
         24.2588   -10000.00  0.2782 -0.111E+00     -12488.46  0.2740  0.101E-02
         24.3235   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.878E-03
         24.3881   -10000.00  0.2782 -0.109E+00     -12432.29  0.2741  0.994E-03
         24.4528   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.906E-03
         24.5175   -10000.00  0.2782 -0.112E+00     -12509.54  0.2740  0.102E-02
         24.5822   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.884E-03
         24.6469   -10000.00  0.2782 -0.109E+00     -12448.25  0.2741  0.100E-02
         24.7116   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.910E-03
         24.7763   -10000.00  0.2782 -0.112E+00     -12522.75  0.2740  0.102E-02
         24.8410   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.887E-03
         24.9057   -10000.00  0.2782 -0.110E+00     -12458.68  0.2741  0.100E-02
         24.9704   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.913E-03
         25.0351   -10000.00  0.2782 -0.113E+00     -12531.64  0.2740  0.103E-02
         25.0997   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.890E-03
         25.1644   -10000.00  0.2782 -0.110E+00     -12465.86  0.2741  0.101E-02
         25.2291   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.915E-03
         25.2938   -10000.00  0.2782 -0.113E+00     -12537.90  0.2739  0.103E-02
         25.3585   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.891E-03
         25.4232   -10000.00  0.2782 -0.110E+00     -12471.05  0.2740  0.101E-02
         25.4879   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.917E-03
         25.5526   -10000.00  0.2782 -0.113E+00     -12542.53  0.2739  0.103E-02
         25.6173   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.892E-03
         25.6820   -10000.00  0.2782 -0.110E+00     -12475.00  0.2740  0.101E-02
         25.7467   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.918E-03
         25.8113   -10000.00  0.2782 -0.113E+00     -12546.15  0.2739  0.103E-02
         25.8760   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.893E-03
         25.9407   -10000.00  0.2782 -0.111E+00     -12478.14  0.2740  0.101E-02
         26.0054   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.919E-03
         26.0701   -10000.00  0.2782 -0.113E+00     -12549.10  0.2739  0.103E-02
         26.1348   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.894E-03
         26.1995   -10000.00  0.2782 -0.111E+00     -12480.78  0.2740  0.101E-02
         26.2642   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.920E-03
         26.3289   -10000.00  0.2782 -0.113E+00     -12551.63  0.2739  0.103E-02
         26.3936   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.895E-03
         26.4582   -10000.00  0.2782 -0.111E+00     -12483.10  0.2740  0.101E-02
         26.5229   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.920E-03
         26.5876   -10000.00  0.2782 -0.114E+00     -12553.88  0.2739  0.104E-02
         26.6523   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.896E-03
         26.7170   -10000.00  0.2782 -0.111E+00     -12485.18  0.2740  0.101E-02
         26.7817   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.921E-03
         26.8464   -10000.00  0.2782 -0.114E+00     -12555.95  0.2739  0.104E-02
         26.9111   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.896E-03
         26.9758   -10000.00  0.2782 -0.111E+00     -12487.10  0.2740  0.101E-02
         27.0405   -10000.00  0.2782 -0.115E+00     -10000.00  0.2782 -0.922E-03
         27.1052   -10000.00  0.2782 -0.114E+00     -12557.88  0.2739  0.104E-02
         27.1698   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.897E-03
         27.2345   -10000.00  0.2782 -0.111E+00     -12488.95  0.2740  0.101E-02
         27.2992   -10000.00  0.2782 -0.115E+00     -10000.00  0.2782 -0.922E-03
         27.3639   -10000.00  0.2782 -0.114E+00     -12559.72  0.2739  0.104E-02
         27.4275   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.884E-03
         27.4911   -10000.00  0.2782 -0.110E+00     -12415.67  0.2741  0.989E-03
         27.5547   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.893E-03
         27.6184   -10000.00  0.2782 -0.111E+00     -12444.60  0.2741  0.999E-03
         27.6820   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.859E-03
         27.7456   -10000.00  0.2782 -0.107E+00     -12348.95  0.2742  0.966E-03
         27.8092   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.876E-03
         27.8728   -10000.00  0.2782 -0.109E+00     -12394.94  0.2742  0.982E-03
         27.9364   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.846E-03
         28.0000   -10000.00  0.2782 -0.106E+00     -12313.37  0.2743  0.954E-03
         28.0647   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.879E-03
         28.1294   -10000.00  0.2782 -0.109E+00     -12438.32  0.2741  0.997E-03
         28.1941   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.867E-03
         28.2588   -10000.00  0.2782 -0.108E+00     -12401.54  0.2741  0.984E-03
         28.3235   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.898E-03
         28.3881   -10000.00  0.2782 -0.111E+00     -12490.08  0.2740  0.101E-02
         28.4528   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.879E-03
         28.5175   -10000.00  0.2782 -0.109E+00     -12438.32  0.2741  0.996E-03
         28.5822   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.908E-03
         28.6469   -10000.00  0.2782 -0.112E+00     -12519.32  0.2740  0.102E-02
         28.7116   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.887E-03
         28.7763   -10000.00  0.2782 -0.110E+00     -12460.53  0.2741  0.100E-02
         28.8410   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.914E-03
         28.9057   -10000.00  0.2782 -0.113E+00     -12537.57  0.2739  0.103E-02
         28.9704   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.892E-03
         29.0351   -10000.00  0.2782 -0.110E+00     -12474.73  0.2740  0.101E-02
         29.0997   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.918E-03
         29.1644   -10000.00  0.2782 -0.113E+00     -12549.43  0.2739  0.103E-02
         29.2291   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.895E-03
         29.2938   -10000.00  0.2782 -0.111E+00     -12484.10  0.2740  0.101E-02
         29.3585   -10000.00  0.2782 -0.114E+00     -10000.00  0.2782 -0.921E-03
         29.4227   -10000.00  0.2782 -0.114E+00     -12533.64  0.2740  0.103E-02
         29.4868   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.886E-03
         29.5510   -10000.00  0.2782 -0.110E+00     -12441.28  0.2741  0.997E-03
         29.6151   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.905E-03
         29.6793   -10000.00  0.2782 -0.112E+00     -12495.11  0.2740  0.102E-02
         29.7434   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.876E-03
         29.8076   -10000.00  0.2782 -0.109E+00     -12415.46  0.2741  0.989E-03
         29.8717   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.898E-03
         29.9359   -10000.00  0.2782 -0.111E+00     -12475.32  0.2740  0.101E-02
         30.0000   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.871E-03
end
