 ******* Program HYDRUS
 ******* 
 Root water uptake in a soil profile                                     
 Date:   7.10.2021    Time:  16:18: 9
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.3744  0.00000E+00  0.50000E+00  0.60010E-03  0.26145E+00 -0.32425E-02  0.00000E+00  0.18719E+00  0.13565E-03  0.98101E-01 -0.12140E-02 -0.47414E+03 -0.39302E+03 -0.30000E+03  0.00000E+00  0.00000E+00  0.69558E+02  0.00000E+00  0.13565E-03     18  0.00000E+00      0.000
       0.4787  0.00000E+00  0.50000E+00  0.93067E-03  0.26098E+00 -0.32425E-02  0.00000E+00  0.23933E+00  0.23269E-03  0.12531E+00 -0.15521E-02 -0.53079E+03 -0.42288E+03 -0.30000E+03  0.00000E+00  0.00000E+00  0.69506E+02  0.00000E+00  0.23269E-03     19  0.00000E+00      0.000
       0.6090  0.00000E+00  0.50000E+00  0.96621E-03  0.26050E+00 -0.32425E-02  0.00000E+00  0.30450E+00  0.35862E-03  0.15926E+00 -0.19747E-02 -0.60141E+03 -0.46305E+03 -0.30000E+03  0.00000E+00  0.00000E+00  0.69440E+02  0.00000E+00  0.35862E-03     20  0.00000E+00      0.000
       0.8045  0.00000E+00  0.50000E+00  0.19176E-02  0.25954E+00 -0.32425E-02  0.00000E+00  0.40225E+00  0.73351E-03  0.21001E+00 -0.26086E-02 -0.72511E+03 -0.52997E+03 -0.30000E+03  0.00000E+00  0.00000E+00  0.69342E+02  0.00000E+00  0.73351E-03     21  0.00000E+00      0.000
       1.0000  0.00000E+00  0.50000E+00  0.17008E-02  0.25869E+00 -0.32425E-02  0.00000E+00  0.50000E+00  0.10660E-02  0.26058E+00 -0.32425E-02 -0.85331E+03 -0.60427E+03 -0.30000E+03  0.00000E+00  0.00000E+00  0.69243E+02  0.00000E+00  0.10660E-02     22  0.00000E+00      0.000
       1.2500  0.00000E+00  0.50000E+00  0.21358E-02  0.25762E+00 -0.32425E-02  0.00000E+00  0.62500E+00  0.16000E-02  0.32499E+00 -0.40532E-02 -0.10330E+04 -0.71267E+03 -0.30000E+03  0.00000E+00  0.00000E+00  0.69118E+02  0.00000E+00  0.16000E-02     23  0.00000E+00      0.000
       1.6250  0.00000E+00  0.50000E+00  0.30806E-02  0.25608E+00 -0.32425E-02  0.00000E+00  0.81250E+00  0.27552E-02  0.42102E+00 -0.52691E-02 -0.13394E+04 -0.90789E+03 -0.30000E+03  0.00000E+00  0.00000E+00  0.68929E+02  0.00000E+00  0.27552E-02     24  0.00000E+00      0.000
       2.0000  0.00000E+00  0.50000E+00  0.10929E-02  0.25553E+00 -0.32425E-02  0.00000E+00  0.10000E+01  0.31650E-02  0.51684E+00 -0.64851E-02 -0.16466E+04 -0.11419E+04 -0.30000E+03  0.00000E+00  0.00000E+00  0.68740E+02  0.00000E+00  0.31650E-02     25  0.00000E+00      0.000
       2.5000  0.00000E+00  0.50000E+00  0.11492E-02  0.25496E+00 -0.32425E-02  0.00000E+00  0.12500E+01  0.37396E-02  0.64432E+00 -0.81063E-02 -0.21393E+04 -0.15348E+04 -0.30000E+03  0.00000E+00  0.00000E+00  0.68489E+02  0.00000E+00  0.37396E-02     26  0.00000E+00      0.000
       3.0000  0.00000E+00  0.50000E+00 -0.68159E-03  0.25530E+00 -0.32425E-02  0.00000E+00  0.15000E+01  0.33988E-02  0.77197E+00 -0.97276E-02 -0.27107E+04 -0.20449E+04 -0.30000E+03  0.00000E+00  0.00000E+00  0.68237E+02  0.00000E+00  0.37396E-02     27  0.00000E+00      0.000
       3.5000  0.00000E+00  0.50000E+00  0.23556E-02  0.25412E+00 -0.32425E-02  0.00000E+00  0.17500E+01  0.45766E-02  0.89903E+00 -0.11349E-01 -0.35087E+04 -0.27121E+04 -0.30000E+03  0.00000E+00  0.00000E+00  0.67985E+02  0.00000E+00  0.49174E-02     28  0.00000E+00      0.000
       4.0000  0.00000E+00  0.50000E+00 -0.72579E-02  0.25775E+00 -0.32425E-02  0.00000E+00  0.20000E+01  0.94766E-03  0.10279E+01 -0.12970E-01 -0.43038E+04 -0.35773E+04 -0.30000E+03  0.00000E+00  0.00000E+00  0.67734E+02  0.00000E+00  0.49174E-02     29  0.00000E+00      0.000
