"","Cc","age","sam"
"1",0.370474083513219,0.2,2
"2",1.44273418388247,0.3,2
"3",2.38192453097072,0.4,2
"4",2.51331194877173,0.5,2
"5",3.71735007142467,0.6,2
"6",4.42918509040987,0.7,2
"7",4.96681981896252,0.8,2
"8",5.73632760847128,0.9,2
"9",6.99142236373317,1,2
"10",7.20791478459315,1.1,2
"11",8.60312373308762,1.2,2
"12",9.86819591953521,1.3,2
"13",10.6409645474465,1.4,2
"14",12.3740375254276,1.5,2
"15",12.5906608025878,1.6,2
"16",14.819375754815,1.7,2
"17",15.2640370712209,1.8,2
"18",17.7077293577642,1.9,2
"19",18.6370791791698,2,2
"20",20.0855671648154,2.1,2
"21",21.4972971418467,2.2,2
"22",22.7704329271476,2.3,2
"23",24.2824219861938,2.4,2
"24",25.0894050662421,2.5,2
"25",26.8175948670083,2.6,2
"26",28.4510567004978,2.7,2
"27",30.0847159312895,2.8,2
"28",31.3450381436089,2.9,2
"29",32.361136674503,3,2
"30",33.017273436015,3.1,2
"31",34.7482931274911,3.2,2
"32",36.4151724871232,3.3,2
"33",37.3024357415338,3.4,2
"34",38.9132425641266,3.5,2
"35",40.3334368528374,3.6,2
"36",41.5820231901465,3.7,2
"37",42.6259189247273,3.8,2
"38",44.2987411203938,3.9,2
"39",45.3142264323736,4,2
"40",46.3760602415185,4.1,2
"41",48.3539360751881,4.2,2
"42",49.4286340112655,4.3,2
"43",50.5404179746442,4.4,2
"44",51.9528968964797,4.5,2
"45",53.5498233005038,4.6,2
"46",54.0792458304935,4.7,2
"47",55.9961099746213,4.8,2
"48",56.8389920057601,4.9,2
"49",58.0697714141221,5,2
"50",59.5338705916373,5.1,2
"51",61.0140509847671,5.2,2
"52",61.9337130711889,5.3,2
"53",63.7520293577323,5.4,2
"54",64.984528299144,5.5,2
"55",65.6862492811643,5.6,2
"56",66.2043843759304,5.7,2
"57",68.1548105116946,5.8,2
"58",70.2083627272339,5.9,2
"59",70.8848838054504,6,2
"60",72.344119535077,6.1,2
"61",73.8333085020809,6.2,2
"62",75.4806847278977,6.3,2
"63",76.4896353227346,6.4,2
"64",77.7310561070531,6.5,2
"65",79.0996028172633,6.6,2
"66",80.4552132805266,6.7,2
"67",81.7011345895309,6.8,2
"68",82.8478171313817,6.9,2
"69",84.5226556475853,7,2
"70",85.8028613744422,7.1,2
"71",86.8600241698465,7.2,2
"72",88.6198367677097,7.3,2
"73",89.8109242236912,7.4,2
"74",90.4922586922926,7.5,2
"75",92.8555557607768,7.6,2
"76",94.3649998944744,7.7,2
"77",95.7224271117639,7.8,2
"78",97.6735905369163,7.9,2
"79",99.0013962129947,8,2
"80",101.661750751738,8.1,2
"81",104.062232831752,8.2,2
"82",106.275189460849,8.3,2
"83",107.912217635786,8.4,2
"84",110.483511343907,8.5,2
"85",111.796695314918,8.6,2
"86",112.861893088515,8.7,2
"87",114.412776102375,8.8,2
"88",116.778604117983,8.9,2
"89",119.254098029058,9,2
"90",125.928605003529,9.1,2
"91",132.548990150939,9.2,2
"92",139.402797119338,9.3,2
"93",147.243894916613,9.4,2
"94",152.596165126674,9.5,2
"95",168.051318063292,9.6,2
"96",182.100600760902,9.7,2
"97",198.433779410539,9.8,2
"98",212.106159619484,9.9,2
"99",226.752399246345,10,2
"100",249.046264560185,10.1,2
"101",268.388637995943,10.2,2
"102",288.281847335518,10.3,2
"103",310.783572496995,10.4,2
"104",327.501886268595,10.5,2
"105",350.560010145889,10.6,2
"106",368.099228756738,10.7,2
"107",390.396067451644,10.8,2
"108",411.121375216945,10.9,2
"109",429.957021394635,11,2
"110",450.271631922788,11.1,2
"111",470.078368294244,11.2,2
"112",488.256680984191,11.3,2
"113",508.4411949832,11.4,2
"114",528.856629216851,11.5,2
"115",549.522814180154,11.6,2
"116",571.054143433485,11.7,2
"117",594.569839693761,11.8,2
"118",611.909828764465,11.9,2
"119",631.03230287373,12,2
"120",651.56937965105,12.1,2
"121",671.36020610528,12.2,2
"122",698.617797541175,12.3,2
"123",716.600350108203,12.4,2
"124",744.094316451551,12.5,2
"125",768.774845253161,12.6,2
"126",793.409619707539,12.7,2
"127",821.54247957877,12.8,2
"128",847.513090644547,12.9,2
"129",871.302559467342,13,2
"130",897.853057156261,13.1,2
"131",928.446088351824,13.2,2
"132",955.500255013057,13.3,2
"133",983.155459815533,13.4,2
"134",1012.9660036358,13.5,2
"135",1043.73617830696,13.6,2
"136",1074.30491172218,13.7,2
"137",1101.25781482385,13.8,2
"138",1129.36587869173,13.9,2
"139",1164.92606631423,14,2
"140",1191.84866109512,14.1,2
"141",1221.49212647864,14.2,2
"142",1251.51892706567,14.3,2
"143",1278.52768729786,14.4,2
"144",1306.73036297562,14.5,2
"145",1335.72719028484,14.6,2
"146",1368.51302113962,14.7,2
"147",1399.41114423757,14.8,2
"148",1427.61896963117,14.9,2
"149",1453.78065393805,15,2
"150",1482.32589407208,15.1,2
"151",1512.2124761465,15.2,2
"152",1539.72046545851,15.3,2
"153",1567.42300468783,15.4,2
"154",1602.16743181564,15.5,2
"155",1631.93959159916,15.6,2
"156",1666.37318573511,15.7,2
"157",1701.39851138061,15.8,2
"158",1736.37326830424,15.9,2
"159",1770.61887818031,16,2
"160",1804.79270255085,16.1,2
"161",1844.31765809944,16.2,2
"162",1886.50179550959,16.3,2
"163",1922.9575960503,16.4,2
"164",1963.58076930563,16.5,2
"165",2013.20842344648,16.6,2
"166",2050.20621006062,16.7,2
"167",2097.15984941582,16.8,2
"168",2133.8045571911,16.9,2
"169",2175.87034360839,17,2
"170",2221.96403949094,17.1,2
"171",2262.29749627011,17.2,2
"172",2301.64577368392,17.3,2
"173",2343.3979682306,17.4,2
"174",2386.03911853486,17.5,2
"175",2428.03358147395,17.6,2
"176",2472.79084623769,17.7,2
"177",2521.37234881194,17.8,2
"178",2559.64437473274,17.9,2
"179",2602.78161938562,18,2
"180",2646.77453188274,18.1,2
"181",2686.59052955678,18.2,2
"182",2735.15451872818,18.3,2
"183",2780.0633989702,18.4,2
"184",2823.15980165097,18.5,2
"185",2869.06849287614,18.6,2
"186",2926.2554832308,18.7,2
"187",2971.3455340577,18.8,2
"188",3023.42103277899,18.9,2
"189",3072.73853521047,19,2
"190",3124.84074299919,19.1,2
"191",3180.53139346801,19.2,2
"192",3229.13819303864,19.3,2
"193",3288.74453503866,19.4,2
