"","Cc","age","sam"
"1",0.607780799494408,0.2,5
"2",1.23154913610899,0.3,5
"3",1.57813674201415,0.4,5
"4",1.82853339576492,0.5,5
"5",2.44518477891602,0.6,5
"6",2.98367946099669,0.7,5
"7",3.8040370710732,0.8,5
"8",4.24789551563103,0.9,5
"9",5.15966457672219,1,5
"10",5.79597420777686,1.1,5
"11",6.54996466973967,1.2,5
"12",8.01929467770635,1.3,5
"13",8.80432330017402,1.4,5
"14",9.72013099850276,1.5,5
"15",10.9139974371717,1.6,5
"16",11.4938092892668,1.7,5
"17",13.0456183324824,1.8,5
"18",14.2862170300019,1.9,5
"19",15.0244141473628,2,5
"20",16.4216253900593,2.1,5
"21",17.8271660739913,2.2,5
"22",18.7983129035934,2.3,5
"23",19.5248681251006,2.4,5
"24",20.7582932068781,2.5,5
"25",22.1250099972629,2.6,5
"26",23.4111322310194,2.7,5
"27",24.1925271655973,2.8,5
"28",25.2248988886183,2.9,5
"29",26.2818197395577,3,5
"30",27.1768546287868,3.1,5
"31",28.5205148023362,3.2,5
"32",29.4219655008948,3.3,5
"33",30.6986128508897,3.4,5
"34",31.8133287498028,3.5,5
"35",32.6366755579662,3.6,5
"36",34.1482626117572,3.7,5
"37",35.0143957950435,3.8,5
"38",35.5093239886078,3.9,5
"39",37.1966129197118,4,5
"40",37.9866367517094,4.1,5
"41",39.0656347203829,4.2,5
"42",39.9413068473533,4.3,5
"43",41.131153464021,4.4,5
"44",42.1778856280392,4.5,5
"45",42.9242844855141,4.6,5
"46",44.1147757066161,4.7,5
"47",45.2904854694318,4.8,5
"48",46.4727834108588,4.9,5
"49",47.2038684413876,5,5
"50",48.4128590950253,5.1,5
"51",49.172810951387,5.2,5
"52",50.2824058917886,5.3,5
"53",51.1180668915612,5.4,5
"54",52.4276265297206,5.5,5
"55",52.9761184664582,5.6,5
"56",54.8022359824822,5.7,5
"57",55.6775430799975,5.8,5
"58",56.7897274808629,5.9,5
"59",57.6156412211541,6,5
"60",58.7807965849639,6.1,5
"61",59.163901246904,6.2,5
"62",60.5910697986106,6.3,5
"63",62.2262826753156,6.4,5
"64",62.5916912300834,6.5,5
"65",64.1667632576482,6.6,5
"66",65.2395561056832,6.7,5
"67",65.936659623926,6.8,5
"68",67.0268197214447,6.9,5
"69",68.2720657390789,7,5
"70",69.204425473868,7.1,5
"71",70.6987729323046,7.2,5
"72",71.5013888366056,7.3,5
"73",72.6140598974523,7.4,5
"74",74.1287994629752,7.5,5
"75",75.1248012352278,7.6,5
"76",76.374805913385,7.7,5
"77",78.1595971602056,7.8,5
"78",79.4055352407917,7.9,5
"79",80.6526955108976,8,5
"80",82.1215161363194,8.1,5
"81",83.4891747500832,8.2,5
"82",84.5654642454457,8.3,5
"83",86.0750041841847,8.4,5
"84",87.0860591845015,8.5,5
"85",88.1456173650382,8.6,5
"86",89.5644751416242,8.7,5
"87",91.0385803341063,8.8,5
"88",91.9553191024908,8.9,5
"89",93.4124079779988,9,5
"90",96.9359200703035,9.1,5
"91",100.34055039815,9.2,5
"92",104.925193913377,9.3,5
"93",110.256470764557,9.4,5
"94",115.525196132675,9.5,5
"95",121.100714042405,9.6,5
"96",130.169481087888,9.7,5
"97",138.293393816731,9.8,5
"98",147.752940475895,9.9,5
"99",155.097597232697,10,5
"100",168.682470595544,10.1,5
