"","Cc","age","sam"
"1",1.67947676443489,0.2,6
"2",1.98425688455528,0.3,6
"3",3.20451218147382,0.4,6
"4",4.08323088177391,0.5,6
"5",4.96115481611872,0.6,6
"6",6.61807164540747,0.7,6
"7",7.77123556265188,0.8,6
"8",9.11167397096533,0.9,6
"9",9.22269434171825,1,6
"10",11.4028278840577,1.1,6
"11",13.5638183427502,1.2,6
"12",14.5948823406749,1.3,6
"13",16.6839927884391,1.4,6
"14",18.342854757715,1.5,6
"15",19.0388026713218,1.6,6
"16",21.512114298193,1.7,6
"17",23.820471267961,1.8,6
"18",25.0992612789065,1.9,6
"19",27.2132463657206,2,6
"20",29.5077130011543,2.1,6
"21",31.5042926978791,2.2,6
"22",33.5640803413874,2.3,6
"23",35.1195649008472,2.4,6
"24",37.5647337564221,2.5,6
"25",39.4969806275519,2.6,6
"26",40.3086043539543,2.7,6
"27",42.9398940682885,2.8,6
"28",44.6896407102556,2.9,6
"29",46.772925977545,3,6
"30",48.7613410230888,3.1,6
"31",50.3996611779248,3.2,6
"32",52.1882490132549,3.3,6
"33",54.4263115920735,3.4,6
"34",55.3731452151644,3.5,6
"35",58.1108806936097,3.6,6
"36",59.0324424616492,3.7,6
"37",61.0663433074149,3.8,6
"38",62.3355180589963,3.9,6
"39",65.6754160196224,4,6
"40",66.7076886804791,4.1,6
"41",68.3201078452568,4.2,6
"42",70.8024190060842,4.3,6
"43",72.1356671719921,4.4,6
"44",74.2265226392503,4.5,6
"45",75.7739072705787,4.6,6
"46",77.642765440347,4.7,6
"47",79.4419650133449,4.8,6
"48",81.0476346119077,4.9,6
"49",83.7308568514835,5,6
"50",84.5781551844882,5.1,6
"51",86.712756992996,5.2,6
"52",87.8438702764819,5.3,6
"53",89.9502811577463,5.4,6
"54",91.1861062163414,5.5,6
"55",92.2860957050826,5.6,6
"56",94.7529578228004,5.7,6
"57",96.5782166698153,5.8,6
"58",97.4848230837198,5.9,6
"59",100.615491558401,6,6
"60",102.646273205461,6.1,6
"61",104.022565263859,6.2,6
"62",106.008891662924,6.3,6
"63",108.350833053877,6.4,6
"64",109.480672286593,6.5,6
"65",112.177173259179,6.6,6
"66",113.089866289117,6.7,6
"67",116.285579235864,6.8,6
"68",117.654716361383,6.9,6
"69",120.104774107123,7,6
"70",121.021236233368,7.1,6
"71",123.154609761028,7.2,6
"72",124.886437658037,7.3,6
"73",126.567420367728,7.4,6
"74",128.456308833667,7.5,6
"75",130.01257796268,7.6,6
"76",131.647699349669,7.7,6
"77",133.924887677439,7.8,6
"78",135.989622797861,7.9,6
"79",137.522530313984,8,6
"80",140.481158190373,8.1,6
"81",143.390476255026,8.2,6
"82",144.82019436068,8.3,6
"83",147.375054048281,8.4,6
"84",150.349347005273,8.5,6
"85",152.450510185743,8.6,6
"86",154.49896595859,8.7,6
"87",157.935228739268,8.8,6
"88",160.329391356597,8.9,6
"89",163.072327180343,9,6
"90",165.969580314365,9.1,6
"91",172.427773851867,9.2,6
"92",178.286934619399,9.3,6
"93",183.0109238754,9.4,6
"94",188.056548813662,9.5,6
"95",194.069717876788,9.6,6
"96",200.275156544927,9.7,6
"97",206.513897752142,9.8,6
"98",213.727474826305,9.9,6
"99",220.017923091754,10,6
"100",229.418570637879,10.1,6
"101",239.584584405829,10.2,6
"102",248.774141895402,10.3,6
"103",258.118218128643,10.4,6
"104",265.796354996647,10.5,6
"105",275.357209731032,10.6,6
"106",285.466041858692,10.7,6
"107",295.238987375708,10.8,6
"108",305.042795861386,10.9,6
"109",314.279760115868,11,6
"110",322.884637834,11.1,6
"111",331.26308304263,11.2,6
"112",341.301922957175,11.3,6
"113",349.207211414848,11.4,6
"114",357.938452182762,11.5,6
"115",365.817170751918,11.6,6
"116",372.43602652135,11.7,6
"117",382.590575511074,11.8,6
"118",389.030677452339,11.9,6
"119",398.408536898968,12,6
"120",407.199933421799,12.1,6
"121",416.020312659476,12.2,6
"122",425.034153357484,12.3,6
"123",434.751134520585,12.4,6
"124",444.433987262996,12.5,6
"125",455.515792106554,12.6,6
"126",466.473239639118,12.7,6
"127",478.461679378506,12.8,6
"128",487.552824593346,12.9,6
"129",497.689055574227,13,6
"130",511.244088678437,13.1,6
"131",520.457283082805,13.2,6
"132",532.353366330288,13.3,6
"133",543.976786158341,13.4,6
"134",555.960855627197,13.5,6
"135",568.538728081437,13.6,6
"136",580.550496965307,13.7,6
"137",592.512775393867,13.8,6
"138",605.110069822562,13.9,6
"139",615.824388982123,14,6
"140",625.937089117355,14.1,6
"141",637.52823603913,14.2,6
"142",649.195398182893,14.3,6
"143",662.190596999395,14.4,6
"144",674.283161973758,14.5,6
"145",685.547117203486,14.6,6
"146",700.473734002927,14.7,6
"147",712.970076739279,14.8,6
"148",722.652835133565,14.9,6
"149",735.627779583137,15,6
"150",747.603103891496,15.1,6
"151",760.17344303331,15.2,6
"152",774.16878599593,15.3,6
"153",784.29414636338,15.4,6
"154",797.553347239334,15.5,6
"155",812.257297943105,15.6,6
"156",823.072733216385,15.7,6
"157",835.868015626417,15.8,6
"158",849.458908094108,15.9,6
"159",863.752003709945,16,6
"160",879.491889362683,16.1,6
"161",893.972643302249,16.2,6
"162",907.946685386615,16.3,6
"163",923.261889717752,16.4,6
"164",941.260356442277,16.5,6
"165",958.37273482277,16.6,6
"166",977.995051343789,16.7,6
"167",1000.47912251954,16.8,6
"168",1022.87852295622,16.9,6
"169",1042.63797782388,17,6
"170",1062.17769112916,17.1,6
"171",1080.41294937048,17.2,6
"172",1100.5963002478,17.3,6
"173",1120.07442876257,17.4,6
"174",1138.66414320593,17.5,6
"175",1158.01638356553,17.6,6
"176",1178.87313643429,17.7,6
"177",1200.45101399874,17.8,6
"178",1219.17086389923,17.9,6
"179",1240.1547263857,18,6
"180",1261.67141982841,18.1,6
"181",1283.3270328255,18.2,6
"182",1301.71652062599,18.3,6
"183",1320.45764908622,18.4,6
"184",1342.71187669556,18.5,6
"185",1363.07279118646,18.6,6
"186",1387.71034468604,18.7,6
"187",1412.67399836902,18.8,6
"188",1432.47043788893,18.9,6
"189",1458.20070488329,19,6
"190",1481.34442780354,19.1,6
"191",1505.1463036708,19.2,6
"192",1531.65483099072,19.3,6
"193",1563.43188182986,19.4,6
"194",1589.69640607315,19.5,6
"195",1618.04383146828,19.6,6
"196",1646.92134628903,19.7,6
"197",1676.43603689658,19.8,6
"198",1705.45167868962,19.9,6
"199",1738.45419302863,20,6
"200",1771.44519959483,20.1,6
"201",1799.97350409394,20.2,6
"202",1827.89150652201,20.3,6
"203",1859.87222273929,20.4,6
"204",1890.78585028535,20.5,6
"205",1923.46866458618,20.6,6
"206",1952.69341556131,20.7,6
"207",1982.41018579716,20.8,6
"208",2010.93671285111,20.9,6
"209",2038.67572276169,21,6
"210",2069.85207804019,21.1,6
"211",2099.62229422632,21.2,6
"212",2128.48982680615,21.3,6
"213",2162.1885622328,21.4,6
"214",2194.40167146527,21.5,6
"215",2227.24343567619,21.6,6
"216",2257.48957155357,21.7,6
"217",2290.85578461856,21.8,6
"218",2323.37177648479,21.9,6
"219",2356.02001963668,22,6
"220",2387.63553894486,22.1,6
"221",2420.26205382032,22.2,6
"222",2450.12351404616,22.3,6
"223",2487.6296250939,22.4,6
"224",2523.02308857273,22.5,6
"225",2559.80606256449,22.6,6
"226",2591.13751891688,22.7,6
"227",2625.9463484675,22.8,6
"228",2661.13104225273,22.9,6
"229",2700.41709113113,23,6
"230",2739.71069501048,23.1,6
"231",2777.66141637719,23.2,6
"232",2814.67330332902,23.3,6
"233",2855.48844555285,23.4,6
"234",2895.82974502186,23.5,6
"235",2938.85799297915,23.6,6
"236",2974.99630471548,23.7,6
"237",3014.70568877257,23.8,6
"238",3058.92155523768,23.9,6
"239",3092.95448372122,24,6
"240",3129.95526453038,24.1,6
"241",3168.15547923298,24.2,6
"242",3209.0773353838,24.3,6
"243",3252.21741744135,24.4,6
"244",3293.40628272074,24.5,6
"245",3335.5387972546,24.6,6
"246",3372.76007939892,24.7,6
"247",3410.37743856271,24.8,6
"248",3448.176429495,24.9,6
"249",3487.87260492295,25,6
"250",3529.31687195804,25.1,6
"251",3566.78525912379,25.2,6
"252",3614.99628608548,25.3,6
"253",3663.82054499281,25.4,6
"254",3705.43037472387,25.5,6
"255",3749.25888854957,25.6,6
"256",3792.75344602736,25.7,6
"257",3835.15119496649,25.8,6
"258",3879.75619706207,25.9,6
"259",3928.94337475335,26,6
"260",3978.74853368987,26.1,6
"261",4023.81694054165,26.2,6
"262",4070.87446099786,26.3,6
"263",4126.90630039979,26.4,6
"264",4182.88573599231,26.5,6
"265",4237.89037916663,26.6,6
"266",4280.46986884447,26.7,6
"267",4337.05698642988,26.8,6
"268",4388.61215999409,26.9,6
"269",4439.71690467045,27,6
"270",4489.82510389966,27.1,6
"271",4533.57132706357,27.2,6
"272",4580.04662594045,27.3,6
"273",4631.16908097896,27.4,6
"274",4678.35550239511,27.5,6
"275",4727.43806138397,27.6,6
"276",4780.96271454039,27.7,6
"277",4832.62415265174,27.8,6
"278",4879.38780590913,27.9,6
"279",4926.02945351527,28,6
"280",4974.9685812724,28.1,6
"281",5025.56203063734,28.2,6
"282",5080.20069686686,28.3,6
"283",5135.27285026415,28.4,6
"284",5191.29997062869,28.5,6
"285",5253.11126616652,28.6,6
"286",5310.04700756292,28.7,6
"287",5365.3561742712,28.8,6
"288",5421.24684255655,28.9,6
"289",5473.34468961811,29,6
"290",5528.12551131199,29.1,6
"291",5584.46469113527,29.2,6
"292",5641.3922966904,29.3,6
"293",5705.08191362432,29.4,6
"294",5760.74493144813,29.5,6
"295",5814.12628392507,29.6,6
"296",5877.91257190468,29.7,6
"297",5934.75121313116,29.8,6
"298",5992.0687400302,29.9,6
"299",6052.25251974524,30,6
"300",6115.35738077219,30.1,6
"301",6170.44477730373,30.2,6
"302",6238.65174827546,30.3,6
"303",6294.06315334997,30.4,6
"304",6361.82079362024,30.5,6
"305",6418.27818600146,30.6,6
"306",6478.47441643074,30.7,6
"307",6537.58959342772,30.8,6
"308",6593.91834853098,30.9,6
"309",6658.38583430146,31,6
"310",6714.80543290715,31.1,6
"311",6770.94657204781,31.2,6
"312",6830.1881474026,31.3,6
"313",6890.24609918185,31.4,6
"314",6953.64313825834,31.5,6
"315",7008.74231558436,31.6,6
"316",7067.53368651403,31.7,6
"317",7127.90752537705,31.8,6
"318",7191.89579225677,31.9,6
"319",7257.30459009513,32,6
"320",7332.25473779266,32.1,6
"321",7398.96033429642,32.2,6
"322",7461.73833048234,32.3,6
"323",7536.91500763401,32.4,6
"324",7605.30389985189,32.5,6
"325",7681.25718705413,32.6,6
"326",7767.90693353733,32.7,6
"327",7843.63866266836,32.8,6
"328",7907.74785329799,32.9,6
"329",7990.63296941602,33,6
"330",8068.1911971593,33.1,6
"331",8159.59220970435,33.2,6
"332",8227.67247284968,33.3,6
"333",8305.76923121573,33.4,6
"334",8377.71223676784,33.5,6
"335",8447.77339689663,33.6,6
"336",8523.28414206018,33.7,6
"337",8598.3893528545,33.8,6
"338",8674.17001334979,33.9,6
"339",8745.9441843026,34,6
"340",8816.46565434927,34.1,6
"341",8890.19908755645,34.2,6
"342",8971.33856947772,34.3,6
"343",9037.01507260604,34.4,6
"344",9123.53671181836,34.5,6
"345",9198.80430848607,34.6,6
"346",9279.54001657057,34.7,6
"347",9365.97314192837,34.8,6
"348",9457.28307895006,34.9,6
"349",9554.27682206211,35,6
"350",9640.89737517454,35.1,6
"351",9720.54777042361,35.2,6
"352",9808.3287803722,35.3,6
"353",9895.69748528595,35.4,6
"354",9989.15853506109,35.5,6
"355",10091.5993771311,35.6,6
"356",10183.6846912014,35.7,6
"357",10284.398249935,35.8,6
"358",10372.3774916359,35.9,6
"359",10468.3263771696,36,6
"360",10556.2321194296,36.1,6
"361",10645.0035713387,36.2,6
"362",10743.5901650233,36.3,6
"363",10835.6611582658,36.4,6
"364",10936.8288309492,36.5,6
"365",11025.5798614915,36.6,6
"366",11124.0230586404,36.7,6
"367",11222.938143392,36.8,6
"368",11318.0344118291,36.9,6
"369",11410.0172133758,37,6
"370",11514.3546791792,37.1,6
"371",11611.6921750457,37.2,6
"372",11714.2566563399,37.3,6
"373",11810.2180360083,37.4,6
"374",11907.1719914973,37.5,6
"375",12008.3203585055,37.6,6
"376",12099.548777281,37.7,6
"377",12191.071783958,37.8,6
"378",12285.5283415495,37.9,6
"379",12391.4595113333,38,6
"380",12479.6100080724,38.1,6
"381",12576.3847747878,38.2,6
"382",12672.8344337606,38.3,6
"383",12779.0813681793,38.4,6
"384",12891.6410570011,38.5,6
"385",12998.2872939819,38.6,6
"386",13102.8285371119,38.7,6
"387",13207.9925094787,38.8,6
"388",13323.3544809377,38.9,6
"389",13452.8562624177,39,6
"390",13567.8407670967,39.1,6
"391",13692.0476397323,39.2,6
"392",13807.0158678987,39.3,6
"393",13926.9582124066,39.4,6
"394",14045.4854193407,39.5,6
"395",14160.6294633011,39.6,6
"396",14283.8719106621,39.7,6
"397",14399.8371308622,39.8,6
"398",14510.990447562,39.9,6
"399",14626.5860917202,40,6
"400",14733.3391059958,40.1,6
"401",14855.8651965462,40.2,6
"402",14979.904639938,40.3,6
"403",15090.3715239314,40.4,6
"404",15214.0861752504,40.5,6
"405",15333.4630051759,40.6,6
"406",15434.6215308494,40.7,6
"407",15557.9932806825,40.8,6
"408",15674.191444863,40.9,6
"409",15782.2993015079,41,6
"410",15922.3075108076,41.1,6
"411",16049.0911351156,41.2,6
"412",16182.4062607571,41.3,6
"413",16315.2535736415,41.4,6
"414",16443.536807809,41.5,6
"415",16572.7192691934,41.6,6
"416",16715.0971547056,41.7,6
"417",16837.966995861,41.8,6
"418",16984.134385899,41.9,6
"419",17120.4923271739,42,6
"420",17267.3873553939,42.1,6
"421",17425.7171738488,42.2,6
"422",17579.7617091702,42.3,6
"423",17721.3216254499,42.4,6
"424",17867.3916349205,42.5,6
"425",18011.3101603788,42.6,6
"426",18168.2516316164,42.7,6
"427",18320.5814440125,42.8,6
