"","Cc","age","sam"
"1",0.601508491123543,0.2,3
"2",1.06756488180232,0.3,3
"3",1.77965434463111,0.4,3
"4",2.0991198847395,0.5,3
"5",2.78187374126125,0.6,3
"6",3.33073163333368,0.7,3
"7",3.98860376513224,0.8,3
"8",4.61547859824077,0.9,3
"9",5.19519290044068,1,3
"10",5.47205380278236,1.1,3
"11",6.89383779376966,1.2,3
"12",7.16285386949712,1.3,3
"13",8.38559237628351,1.4,3
"14",9.10980996257719,1.5,3
"15",10.2588125764493,1.6,3
"16",10.7468093288569,1.7,3
"17",12.1754966162032,1.8,3
"18",12.8135200243112,1.9,3
"19",13.8979093608094,2,3
"20",14.8377411192424,2.1,3
"21",15.4051496816074,2.2,3
"22",16.5878838236469,2.3,3
"23",17.6132972247801,2.4,3
"24",18.5337347952029,2.5,3
"25",19.4085173592095,2.6,3
"26",20.0479874160203,2.7,3
"27",21.3336648023617,2.8,3
"28",22.3288185284873,2.9,3
"29",23.1202381439693,3,3
"30",24.0053821029057,3.1,3
"31",24.5910596872622,3.2,3
"32",25.6114032153602,3.3,3
"33",26.5391487011308,3.4,3
"34",27.5393952037646,3.5,3
"35",28.3956026686028,3.6,3
"36",29.2730068866315,3.7,3
"37",30.1360972956769,3.8,3
"38",31.102476785642,3.9,3
"39",31.5297879140693,4,3
"40",32.5927432590967,4.1,3
"41",33.5411196250714,4.2,3
"42",34.4940929423978,4.3,3
"43",35.6012509212937,4.4,3
"44",35.9833417466532,4.5,3
"45",36.3177862604068,4.6,3
"46",37.8722098808305,4.7,3
"47",38.5621047335861,4.8,3
"48",39.8214572921029,4.9,3
"49",40.7522050326,5,3
"50",41.1593463858485,5.1,3
"51",42.0167626895586,5.2,3
"52",42.9470673456952,5.3,3
"53",43.8881608814454,5.4,3
"54",44.6540231154195,5.5,3
"55",45.6619586826958,5.6,3
"56",46.461156815429,5.7,3
"57",47.3990828254264,5.8,3
"58",48.2706398235383,5.9,3
"59",48.9472690629048,6,3
"60",50.0881214669129,6.1,3
"61",50.6994642272321,6.2,3
"62",51.0886414742216,6.3,3
"63",52.5790076558951,6.4,3
"64",52.9820720675113,6.5,3
"65",54.1139654263465,6.6,3
"66",55.4397195423069,6.7,3
"67",56.1499425594771,6.8,3
"68",57.3123218137059,6.9,3
"69",58.4493388325309,7,3
"70",59.2155880743135,7.1,3
"71",60.3734245515076,7.2,3
"72",60.4949261121817,7.3,3
"73",61.967212466609,7.4,3
"74",63.6244647792352,7.5,3
"75",63.8974581285827,7.6,3
"76",65.4885419394821,7.7,3
"77",66.9719412195974,7.8,3
"78",68.1374786209678,7.9,3
"79",69.0847274573251,8,3
"80",70.4468445675463,8.1,3
"81",71.6545244491311,8.2,3
"82",73.4953709314516,8.3,3
"83",74.6466819637799,8.4,3
"84",75.3250332586088,8.5,3
"85",76.5709080450431,8.6,3
"86",78.4277423848826,8.7,3
"87",80.9435838593602,8.8,3
"88",81.3083506260408,8.9,3
"89",82.5761438499241,9,3
"90",85.3565503244987,9.1,3
"91",88.5586279975997,9.2,3
"92",92.1591125485507,9.3,3
"93",96.0473348336044,9.4,3
"94",100.288773116402,9.5,3
"95",103.97798359331,9.6,3
"96",109.412288915345,9.7,3
"97",114.917875499998,9.8,3
"98",119.523982046933,9.9,3
"99",125.633964140897,10,3
"100",131.681918735095,10.1,3
"101",138.734179046372,10.2,3
"102",144.263560995964,10.3,3
"103",149.464549834986,10.4,3
"104",157.621880031886,10.5,3
"105",164.169048907357,10.6,3
"106",171.543875104404,10.7,3
"107",178.611610885667,10.8,3
"108",184.608750406869,10.9,3
"109",190.563557646194,11,3
"110",197.216046479401,11.1,3
"111",203.042664460405,11.2,3
"112",209.642359735586,11.3,3
"113",215.071637129699,11.4,3
"114",222.577625472629,11.5,3
"115",231.332032209252,11.6,3
"116",236.316576006102,11.7,3
"117",242.558164146113,11.8,3
"118",249.395665385971,11.9,3
"119",254.742893432493,12,3
"120",261.981729855834,12.1,3
"121",269.12068260245,12.2,3
"122",276.075399300985,12.3,3
"123",282.48362971304,12.4,3
"124",289.816691223802,12.5,3
"125",298.322528274133,12.6,3
"126",305.667148465802,12.7,3
"127",315.055156461266,12.8,3
"128",326.724559860225,12.9,3
"129",337.861729348258,13,3
"130",347.838478930426,13.1,3
"131",358.183640136145,13.2,3
"132",369.241719885704,13.3,3
"133",384.024294594459,13.4,3
"134",394.671362997133,13.5,3
"135",409.195559190071,13.6,3
"136",422.04468584948,13.7,3
"137",435.419142652315,13.8,3
"138",447.571708898995,13.9,3
"139",459.441399353622,14,3
"140",470.410755972144,14.1,3
"141",482.92657306076,14.2,3
"142",495.614210885154,14.3,3
"143",509.711337222734,14.4,3
"144",520.603326679271,14.5,3
"145",534.567537202504,14.6,3
"146",545.487165158723,14.7,3
"147",558.652949856167,14.8,3
"148",567.9769078861,14.9,3
"149",580.411880896766,15,3
"150",594.932187531294,15.1,3
"151",607.079386180043,15.2,3
"152",619.25634427345,15.3,3
"153",631.510623636051,15.4,3
"154",643.939532460693,15.5,3
"155",657.989042921947,15.6,3
"156",673.938420809354,15.7,3
"157",688.353456918837,15.8,3
"158",704.267331670302,15.9,3
"159",720.133490534369,16,3
"160",736.155864720219,16.1,3
"161",750.987730572207,16.2,3
"162",768.084951114575,16.3,3
"163",783.501153099783,16.4,3
"164",800.410357452172,16.5,3
"165",815.787062524759,16.6,3
"166",834.0531656485,16.7,3
"167",850.771849635487,16.8,3
"168",866.292291792725,16.9,3
"169",886.150372618915,17,3
"170",903.781855353601,17.1,3
"171",921.537665927322,17.2,3
"172",939.324374460127,17.3,3
"173",956.733477983385,17.4,3
"174",975.159709075999,17.5,3
"175",996.042130947478,17.6,3
"176",1013.1657625896,17.7,3
"177",1035.26851781751,17.8,3
"178",1051.70751391125,17.9,3
"179",1068.37697049413,18,3
"180",1086.35161660661,18.1,3
"181",1106.65793846841,18.2,3
"182",1124.98421424895,18.3,3
"183",1146.24448676288,18.4,3
"184",1163.80834638821,18.5,3
"185",1181.78702987535,18.6,3
"186",1198.51465125552,18.7,3
"187",1218.27418114447,18.8,3
"188",1238.24725852136,18.9,3
"189",1257.94287212639,19,3
"190",1278.34325840183,19.1,3
"191",1301.54472049959,19.2,3
"192",1327.04485927048,19.3,3
"193",1349.06857664344,19.4,3
"194",1371.83402913397,19.5,3
"195",1394.26033586954,19.6,3
"196",1418.61415371059,19.7,3
"197",1445.36964384303,19.8,3
"198",1469.33163662486,19.9,3
"199",1491.18725991835,20,3
"200",1510.9722009399,20.1,3
"201",1534.6589302152,20.2,3
"202",1559.58809394933,20.3,3
"203",1584.26794210376,20.4,3
"204",1607.84443674163,20.5,3
"205",1631.38157553078,20.6,3
"206",1654.52593186537,20.7,3
"207",1677.86508272455,20.8,3
"208",1701.39710073997,20.9,3
"209",1730.05125213264,21,3
"210",1754.28753474376,21.1,3
"211",1777.88545572011,21.2,3
"212",1802.53590351985,21.3,3
"213",1828.85103672561,21.4,3
"214",1851.28348906073,21.5,3
"215",1874.55540002633,21.6,3
"216",1900.1178188903,21.7,3
"217",1925.68885003502,21.8,3
"218",1951.53133315139,21.9,3
"219",1975.89818632436,22,3
"220",2000.25085401844,22.1,3
"221",2024.64179050974,22.2,3
"222",2050.94828278286,22.3,3
"223",2079.86716687676,22.4,3
"224",2107.04835967421,22.5,3
"225",2134.43880775,22.6,3
"226",2164.15449322564,22.7,3
"227",2193.44977688895,22.8,3
"228",2222.14575355526,22.9,3
"229",2252.49336276128,23,3
"230",2284.21264053622,23.1,3
"231",2314.05393767386,23.2,3
"232",2344.28123116823,23.3,3
"233",2373.31447292779,23.4,3
"234",2406.19424544297,23.5,3
"235",2436.72797845902,23.6,3
"236",2464.90692761412,23.7,3
"237",2492.51865904625,23.8,3
"238",2523.31118689545,23.9,3
"239",2556.34178975204,24,3
"240",2585.58607027328,24.1,3
"241",2615.77278459862,24.2,3
"242",2646.27593403294,24.3,3
"243",2677.68294677627,24.4,3
"244",2705.86359510736,24.5,3
"245",2736.2219203477,24.6,3
"246",2766.76079916426,24.7,3
"247",2799.40872192493,24.8,3
"248",2830.86969184395,24.9,3
"249",2861.04057362312,25,3
"250",2891.72138034976,25.1,3
"251",2922.81595380195,25.2,3
"252",2959.20949191168,25.3,3
"253",2986.28089995019,25.4,3
"254",3019.823045455,25.5,3
"255",3054.0526764555,25.6,3
"256",3088.88047307887,25.7,3
"257",3125.97173366262,25.8,3
"258",3160.35741281624,25.9,3
"259",3195.48747280104,26,3
"260",3232.43232442004,26.1,3
"261",3276.24836572003,26.2,3
"262",3310.57440926718,26.3,3
"263",3349.08084245309,26.4,3
"264",3390.76796507538,26.5,3
"265",3430.84269201487,26.6,3
"266",3468.3267899049,26.7,3
"267",3509.98344452913,26.8,3
"268",3552.16873654984,26.9,3
