"","Cc","age","sam"
"1",1.18643975268888,0.2,4
"2",2.06622155157548,0.3,4
"3",3.00157025381301,0.4,4
"4",4.90820027448341,0.5,4
"5",5.75216218953171,0.6,4
"6",6.49943394134241,0.7,4
"7",8.45128754645547,0.8,4
"8",10.0232499367599,0.9,4
"9",11.3852068408615,1,4
"10",12.9765297288056,1.1,4
"11",14.5220095982324,1.2,4
"12",15.9419248747927,1.3,4
"13",18.0636742456659,1.4,4
"14",19.8735752163747,1.5,4
"15",21.3655248123621,1.6,4
"16",23.1269679944545,1.7,4
"17",24.7300201529517,1.8,4
"18",26.6761152856393,1.9,4
"19",28.5348201455529,2,4
"20",30.8567098108537,2.1,4
"21",32.3353532935578,2.2,4
"22",34.5682937030471,2.3,4
"23",35.7772594514956,2.4,4
"24",37.5015760915388,2.5,4
"25",39.7840829920462,2.6,4
"26",41.3660660457511,2.7,4
"27",43.0151308786227,2.8,4
"28",44.9555333128831,2.9,4
"29",46.5711944667343,3,4
"30",48.1949741304625,3.1,4
"31",49.9455668942511,3.2,4
"32",52.170033520517,3.3,4
"33",53.034438106076,3.4,4
"34",55.1556219473778,3.5,4
"35",56.832404149814,3.6,4
"36",58.633676796824,3.7,4
"37",60.5070159861677,3.8,4
"38",61.130707340183,3.9,4
"39",63.3307585015961,4,4
"40",65.7344047486366,4.1,4
"41",66.8066802773294,4.2,4
"42",69.1766082447547,4.3,4
"43",70.0414299441459,4.4,4
"44",72.1715001594677,4.5,4
"45",73.2444769674248,4.6,4
"46",75.1494442933083,4.7,4
"47",77.1038175655288,4.8,4
"48",78.9414603573462,4.9,4
"49",80.7191765994357,5,4
"50",82.339525927448,5.1,4
"51",83.6207776282688,5.2,4
"52",85.482291818592,5.3,4
"53",86.0086928600251,5.4,4
"54",88.5762481863018,5.5,4
"55",89.8570382476554,5.6,4
"56",91.4321479735762,5.7,4
"57",94.3236082842318,5.8,4
"58",95.8134284908641,5.9,4
"59",97.4772618772592,6,4
"60",98.6272043700656,6.1,4
"61",100.607213041828,6.2,4
"62",101.204267864876,6.3,4
"63",104.447625448232,6.4,4
"64",105.652438782045,6.5,4
"65",107.430250064484,6.6,4
"66",109.170080959699,6.7,4
"67",110.308731552273,6.8,4
"68",112.103503371887,6.9,4
"69",113.770788780853,7,4
"70",115.443783346836,7.1,4
"71",117.424986706029,7.2,4
"72",119.159508031661,7.3,4
"73",120.333643512237,7.4,4
"74",122.109726470912,7.5,4
"75",124.155397153762,7.6,4
"76",125.430691852345,7.7,4
"77",127.953251244669,7.8,4
"78",129.944775640932,7.9,4
"79",131.769042243161,8,4
"80",133.712533827465,8.1,4
"81",135.913357225087,8.2,4
"82",137.414594584671,8.3,4
"83",138.025383632149,8.4,4
"84",141.222032062102,8.5,4
"85",143.202119593813,8.6,4
"86",144.013583036657,8.7,4
"87",146.068304140141,8.8,4
"88",148.674875611243,8.9,4
"89",151.350632198111,9,4
"90",159.985872490604,9.1,4
"91",169.894354861934,9.2,4
"92",180.7355736811,9.3,4
"93",190.355675703928,9.4,4
"94",199.500135614819,9.5,4
"95",212.732010442362,9.6,4
"96",226.471312103123,9.7,4
"97",241.654347165771,9.8,4
"98",255.545911403299,9.9,4
"99",271.555853672067,10,4
"100",288.541493807892,10.1,4
"101",310.787555288129,10.2,4
"102",330.086466094975,10.3,4
"103",349.675553480459,10.4,4
"104",368.581031483527,10.5,4
"105",389.66537095822,10.6,4
"106",412.314332077532,10.7,4
"107",432.044001590198,10.8,4
"108",451.937042986406,10.9,4
"109",468.769224670582,11,4
"110",490.159900327395,11.1,4
"111",508.720756752348,11.2,4
"112",527.139280572455,11.3,4
"113",546.827480089898,11.4,4
"114",567.008676998016,11.5,4
"115",587.389518479591,11.6,4
"116",606.580107684169,11.7,4
"117",624.820945380296,11.8,4
"118",646.082185155662,11.9,4
"119",665.353472246935,12,4
"120",682.717432176922,12.1,4
"121",702.969800782266,12.2,4
"122",727.980931075183,12.3,4
"123",748.889322700529,12.4,4
"124",769.670459832613,12.5,4
"125",788.669983550698,12.6,4
"126",812.468037237854,12.7,4
"127",838.396671828753,12.8,4
"128",863.055555154776,12.9,4
"129",886.063204130048,13,4
"130",911.879555460278,13.1,4
"131",936.628713135318,13.2,4
"132",965.778350736992,13.3,4
"133",994.759046671768,13.4,4
"134",1025.69549330859,13.5,4
"135",1055.7742409709,13.6,4
"136",1085.33555509777,13.7,4
"137",1113.54469776669,13.8,4
"138",1143.92489100101,13.9,4
"139",1173.21735291455,14,4
"140",1201.80640446941,14.1,4
"141",1233.49402144095,14.2,4
"142",1260.44285996575,14.3,4
"143",1287.91206907229,14.4,4
"144",1317.64167359026,14.5,4
"145",1348.26004160086,14.6,4
"146",1374.95560035034,14.7,4
"147",1405.70023281157,14.8,4
"148",1431.97884841263,14.9,4
"149",1465.77197290966,15,4
"150",1494.20949452431,15.1,4
"151",1520.382235939,15.2,4
"152",1554.66729685749,15.3,4
"153",1583.26717866531,15.4,4
"154",1616.73316743346,15.5,4
"155",1650.5030317797,15.6,4
"156",1680.92172888707,15.7,4
"157",1715.59473734799,15.8,4
"158",1751.21478339491,15.9,4
"159",1788.54681525897,16,4
"160",1825.69819319477,16.1,4
"161",1861.87449777616,16.2,4
"162",1900.12007545395,16.3,4
"163",1938.39569303303,16.4,4
"164",1976.36457635196,16.5,4
"165",2014.30087418675,16.6,4
"166",2058.67408417373,16.7,4
"167",2096.16941997364,16.8,4
"168",2137.00818199396,16.9,4
"169",2175.22745587888,17,4
"170",2217.98088474766,17.1,4
"171",2256.71344651144,17.2,4
"172",2300.16620659858,17.3,4
"173",2339.04680178454,17.4,4
"174",2380.14537269995,17.5,4
"175",2418.70250904547,17.6,4
"176",2462.65910463204,17.7,4
"177",2500.9883348544,17.8,4
"178",2544.54820013651,17.9,4
"179",2581.4397549814,18,4
"180",2625.57038426232,18.1,4
"181",2666.41452635081,18.2,4
"182",2707.28527725698,18.3,4
"183",2743.14397728807,18.4,4
"184",2787.59657997501,18.5,4
"185",2827.47799361401,18.6,4
"186",2869.36467869541,18.7,4
"187",2914.47772557519,18.8,4
"188",2965.0800276084,18.9,4
"189",3006.71778196147,19,4
"190",3052.0067672034,19.1,4
"191",3097.87961098951,19.2,4
"192",3154.47703368751,19.3,4
"193",3212.48476029342,19.4,4
"194",3268.33610615682,19.5,4
"195",3318.74840230289,19.6,4
"196",3374.86749092226,19.7,4
"197",3437.02924155836,19.8,4
"198",3493.81605867023,19.9,4
"199",3548.30313980746,20,4
"200",3608.7734307489,20.1,4
"201",3667.66970584117,20.2,4
"202",3717.30576587747,20.3,4
"203",3776.16604571945,20.4,4
"204",3834.4766930676,20.5,4
"205",3894.06654634618,20.6,4
"206",3953.40905026699,20.7,4
"207",4013.73946274327,20.8,4
"208",4073.46763181618,20.9,4
"209",4132.40167592875,21,4
"210",4185.03049840258,21.1,4
"211",4246.92662361459,21.2,4
"212",4307.83220921304,21.3,4
